Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
137,0,179,26,11,35,0,8,60,44,45
117,15,207,35,11,46,0,0,56,17,18
122,16,216,51,19,111,0,9,53,32,23
168,20,228,26,24,109,0,17,66,32,23
160,0,281,76,13,102,0,7,84,16,19
64,0,88,25,7,39,0,0,17,5,13
30,0,36,0,0,7,0,0,0,8,8
221,27,336,77,33,152,0,11,117,127,45
178,90,362,119,5,154,0,18,78,80,28
239,54,441,93,0,234,5,23,115,122,24
272,59,429,105,25,181,0,11,48,76,20
206,64,404,77,7,155,10,12,79,72,58
116,31,116,53,11,64,5,8,15,19,6
76,7,36,31,0,17,0,21,5,0,0
288,68,504,213,34,178,8,27,95,162,53
226,74,440,153,20,242,14,47,110,151,47
256,60,491,139,23,229,32,52,81,91,41
294,17,355,136,48,113,0,24,86,109,74
246,24,359,76,36,77,0,34,55,132,48
119,13,252,72,6,90,0,33,26,17,20
53,0,90,34,0,30,0,13,14,6,0
295,106,633,208,35,332,29,66,175,175,93
313,128,761,291,35,357,22,89,94,209,65
319,132,728,294,15,396,35,105,206,191,137
268,198,786,309,23,467,30,181,147,275,72
247,155,851,589,30,506,62,171,115,233,100
107,21,325,132,18,313,14,47,51,100,21
84,141,92,94,0,43,0,29,20,36,29
496,281,1026,629,117,733,101,238,344,455,215
502,343,1154,641,115,1066,137,271,265,453,154
565,390,1326,1148,83,1020,136,453,365,518,257
622,370,1308,864,139,1029,233,390,457,456,200
787,452,1465,1267,161,1137,213,508,398,615,335
359,288,519,593,76,973,40,355,137,256,140
185,103,266,386,38,322,47,141,84,120,75
1092,358,1474,1605,251,1598,248,511,743,875,616
974,681,2135,2153,283,2660,245,820,688,1033,565
1155,655,2019,2103,333,2413,299,803,705,922,642
1081,536,1889,2184,298,2397,233,561,809,831,720
1169,722,2443,2073,297,2502,333,787,991,1189,788
617,305,950,1566,210,1882,100,793,379,479,316
343,280,259,818,179,778,46,294,296,208,168
1852,592,2601,2012,579,2368,369,680,1652,1486,1260
1754,1168,3124,3296,548,3225,435,1357,1494,1668,1001
1538,834,2309,3246,490,3074,460,994,1661,1341,1260
1531,796,2691,3075,490,2968,458,1095,1578,1381,1240
1816,732,2594,3378,490,3799,548,753,1697,1358,1387
737,572,1216,2235,252,2484,269,1095,881,676,697
384,130,344,1311,114,736,66,206,445,189,366
2297,697,2224,2621,659,3579,561,718,2369,1735,1968
1904,1027,2549,3948,555,4266,577,2026,1831,1598,1492
1543,571,2010,3793,468,3703,418,1109,1560,1037,1301
1272,491,1598,3214,427,2987,454,625,1504,912,1197
1404,597,1576,3264,456,2568,486,1430,1287,914,1107
428,162,661,1435,164,1072,99,376,441,285,575
221,48,165,673,59,120,36,118,251,81,183
1466,519,1494,1888,524,2386,368,778,1553,1005,1408
1132,421,1182,2816,287,2107,344,772,969,611,926
725,255,877,2022,251,1476,214,608,1011,562,708
703,243,763,1746,211,1082,112,460,671,420,687
688,189,609,1167,202,1052,175,327,720,286,499
293,89,307,415,63,323,16,179,245,117,190
129,18,53,265,24,27,14,49,108,30,116
1011,336,813,1430,326,1070,212,508,1014,541,851
699,205,721,1531,272,1051,215,494,858,424,599
159,12,145,337,90,116,5,94,230,15,101
630,213,576,1160,239,803,164,315,731,390,579
618,218,495,1092,181,718,72,220,788,250,430
124,107,202,360,60,210,59,113,226,56,160
169,0,48,132,27,8,0,0,53,5,60
744,191,513,843,291,660,111,221,745,350,541
527,133,448,994,142,500,94,201,566,178,324
363,62,401,565,126,298,16,123,584,152,272
291,70,302,440,143,227,54,88,287,122,235
355,61,315,359,127,235,31,129,329,130,202
104,5,87,162,12,42,0,37,103,28,77
37,0,19,16,16,7,0,10,77,16,26
535,93,351,470,208,334,44,131,435,221,392
276,55,294,345,91,185,36,113,333,146,219
287,47,170,314,111,162,17,59,360,99,244
206,28,246,266,128,154,26,66,287,99,173
296,24,189,311,196,125,53,90,300,191,240
67,7,70,52,0,8,16,37,55,26,66
49,12,18,22,12,0,5,0,18,15,36
514,88,216,297,173,197,64,77,404,198,329
255,25,259,357,101,107,33,63,349,118,287
343,37,190,243,89,139,40,52,364,136,253
235,34,159,215,128,99,50,84,281,138,263
281,57,145,288,136,95,37,47,315,188,309
90,0,81,81,17,10,7,19,110,30,91
34,0,0,11,21,0,5,5,40,27,53
482,55,193,349,207,168,44,96,440,155,464
288,46,162,320,136,114,43,64,385,155,237
418,45,180,281,123,95,52,73,395,105,292
325,36,172,282,126,106,33,58,340,117,319
433,65,177,276,173,120,34,76,376,110,343
156,0,62,175,35,21,0,61,237,52,210
87,0,13,41,32,0,0,5,86,10,45
657,58,193,341,198,153,66,111,660,199,532
440,56,239,257,185,155,43,108,429,195,408
426,43,173,229,117,107,44,120,336,87,318
421,45,189,238,140,120,47,45,364,75,329
315,44,181,317,166,116,18,81,357,108,304
151,15,126,105,39,67,0,39,140,23,141
62,0,8,12,19,5,0,6,63,0,50
496,71,181,408,205,179,21,88,423,147,384
318,35,197,219,118,118,32,95,358,115,259
369,32,137,175,118,90,26,57,323,104,227
173,20,104,145,120,55,12,41,187,43,127
34,0,7,10,13,0,0,0,57,5,22
130,0,64,13,36,15,6,26,113,15,143
22,0,7,6,31,0,0,6,48,5,13
